Money Income in the United States: 2001 - Median Household Income by State,,,,,,,,,,,,,
Use a landscape setting when printing this table.,,,,,,,,,,,,,
Median Income of Households by State in 2001 and 2- and 3-Year-Average Medians, Ranked1 Using a 3-Year-Average Median (Income in 2001 dollars. The 2000 income data used in this table reflect the implemenation of Census 2000-based population controls and a 28,000 household sample expansion. The 1999 income data reflect the use of Census 2000-based population controls),,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
                                          3-year-average median2 (1999-2001),2-year average medians3,Differences in,,,,,,,,,,,
                                                                                                 2000-2001,1999-2000,2-year-average medians,,,,,,,,,,,
                                                                Number of states4 with median income:,(2000-2001 less 1999-2000),,,,,,,,,,,,
                                                                 Not,,,,,,,,,,,,,
                       2001 Median Income,statistically,,,,,,,,,,,,
     States,Median,Standard,Median,Standard,different,Higher,Lower,Median,Standard,Median,Standard,Percent,
                       income,error,income,error,from:,than:,than:,income,error,income,error,Difference,change,
     (Column 1),(Column 2)(Column 3)(Column 4)(Column 5) (Column 6),(Column 7),(Column 8) (Column 9) (Column 10) (Column 11(Column 12) (Column 13) (Column 14),,,,,,,,,,
,,,,,,,,,,,,,
United States,"42,228",129,"42,873",109,(X),(X),(X),"42,695",109,"43,195",140,-500,-1.2 *
,,,,,,,,,,,,,
Alaska,"57,363","2,012","55,426","1,278",3,0,46,"55,842","1,337","54,458","1,498","1,385",2.5
Maryland,"53,530","1,652","55,013","1,264",3,0,46,"54,794","1,271","55,755","1,580",-962,-1.7
Connecticut,"53,347","1,240","52,887","1,203",6,0,43,"52,460","1,083","52,657","1,603",-197,-0.4
Minnesota,"52,681","1,134","52,804","1,073",6,0,43,"54,223","1,198","52,865","1,386","1,358",2.6
New Jersey,"51,771",933,"52,137",807,4,2,43,"51,791",802,"52,320","1,040",-529,-1
New Hampshire,"51,331",719,"50,866",997,8,2,39,"51,839",836,"50,634","1,395","1,205",2.4
Delaware,"49,602","1,468","50,301","1,276",9,2,38,"50,686","1,240","50,650","1,651",36,0.1
Colorado,"49,397","1,190","50,053",941,6,5,38,"49,492","1,011","50,380","1,173",-889,-1.8
Hawaii,"47,439","1,256","49,232","1,034",7,5,37,"50,212","1,020","50,129","1,319",83,0.2
Virginia,"50,241","1,148","49,085",964,7,5,37,"49,360",921,"48,508","1,242",853,1.8
Massachusetts,"52,253","1,518","49,018","1,176",10,5,34,"50,155","1,197","47,400","1,472","2,755",5.8 *
Utah,"47,342","1,601","48,378","1,007",9,6,34,"48,110","1,108","48,896","1,159",-787,-1.6
Illinois,"46,171",879,"47,578",693,7,8,34,"46,760",770,"48,281",857,"-1,521",-3.1 *
California,"47,262",727,"47,243",507,6,10,33,"47,692",588,"47,233",597,459,1
Michigan,"45,047",868,"46,929",727,7,10,32,"45,915",822,"47,869",910,"-1,955",-4.1 *
Wisconsin,"45,346","1,123","46,734",962,8,10,31,"45,846",864,"47,427","1,255","-1,581",-3.3 *
Nevada,"45,403","1,130","45,493",946,6,13,30,"46,219",891,"45,538","1,220",681,1.5
