
,"Income, Poverty and Health Insurance in the United States: 2003 - Median Household Income by State"

,"Three-Year-Average Median Household Income by State: 2001-2003
(Income in 2003 dollars)"

States,3-year-average median1 [http://www.census.gov/hhes/www/income/data/incpovhlth/2003/statemhi.html#footnote1] (2001-2003),,,,
,"Median Income
(dollars)","Standard error
(dollars)",Number of states2 [http://www.census.gov/hhes/www/income/data/incpovhlth/2003/statemhi.html#footnote2] with median income:,,
Not Statistically different from:,,,Higher than state of interest:,Lower than state of interest:
United States,"43,527",108,,,
,,,,,
New Jersey,"55,221",880,5,0,44
Maryland,"55,213","1,061",5,0,44
New Hampshire,"55,166",809,5,0,44
Alaska,"55,143",994,5,0,44
Connecticut,"55,004",992,5,0,44
Minnesota,"54,480",847,6,0,43
Virginia,"52,587",952,3,5,41
Massachusetts,"52,084",874,3,6,40
Delaware,"50,451","1,090",6,6,37
Colorado,"50,224",920,5,7,37
Hawaii,"49,839",945,4,8,37
Utah,"49,143",886,4,8,37
California,"48,979",550,4,8,37
Wisconsin,"46,782",723,5,13,31
Nevada,"46,118",911,6,13,30
Washington,"45,960",851,6,13,30
Illinois,"45,607",664,6,13,30
Rhode Island,"45,205",768,10,13,26
Michigan,"45,176",707,10,13,26
Nebraska,"44,357",817,12,14,23
Pennsylvania,"43,869",548,9,17,23
Kansas,"43,622",824,13,17,19
Georgia,"43,535",756,13,17,19
Ohio,"43,535",565,10,19,20
Missouri,"43,492",758,13,17,19
Vermont,"43,212",650,11,19,19
New York,"43,160",486,11,19,19
District of Columbia,"42,597",813,,,
Oregon,"42,429",612,10,21,18
Indiana,"42,124",625,10,22,17
Arizona,"42,062",908,12,21,16
Iowa,"41,985",764,11,21,17
Wyoming,"41,501",746,6,27,16
Texas,"40,934",437,6,28,15
Idaho,"40,230",736,5,30,14
South Dakota,"39,829",670,4,32,13
South Carolina,"38,791",808,9,33,7
Florida,"38,572",493,8,34,7
North Dakota,"38,212",590,7,35,7
Kentucky,"38,161",652,7,35,7
North Carolina,"38,096",614,7,35,7
Maine,"37,619",649,8,35,6
Tennessee,"37,529",742,8,35,6
Alabama,"37,419",867,8,35,6
Oklahoma,"36,733",492,4,40,5
New Mexico,"35,265",815,3,43,3
Montana,"34,375",734,3,44,2
Louisiana,"34,307",852,3,44,2
Arkansas,"33,259",645,3,45,1
Mississippi,"31,887",719,2,47,0
West Virginia,"31,210",561,1,48,0
"Footnotes:

1. The 3-year-average median is the sum of 3 inflation-adjusted single-year medians divided by 3.
2. Excludes the District of Columbia.

Source: U.S. Census Bureau, Current Population Survey, 2002, 2003, and 2004 Annual Social and Economic Supplements.",,,,,
,
