Money Income in the United States: 1995 - Tables & Charts

  Table C.,Median Income of Households by State:,"1993, 1994, and 1995"

    (In 1995 dollars)
    -------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                   Three-year average,Average median,Average median,Two-year moving averages
                                1995,1994,1993,1993-1995,1994-1995,1993-1994,1994-95 vs 1993-94
         States,-----------------------------------------------------------------------------------------------------------------------------------------------------
                           Median,Standard,Median,Standard,Median Standard,Median,Standard,Median,Standard,Median,Standard,Difference,Percent
                           income,error,income,error,income,error,income,error,income,error,income,error,change
    -------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    Alabama,"25,991","1,266","27,967","1,603","26,453","1,147","26,804",954,"26,979","1,183","27,210","1,137",-231,-0.8
    Alaska,"47,954","2,008","46,653","1,536","45,278","1,721","46,628","1,219","47,303","1,462","45,965","1,339",1338,2.9
    Arizona,"30,863","1,360","32,180",795,"32,178","1,181","31,740",767,"31,521",900,"32,179",819,-658,-2.0
    Arkansas,"25,814",999,"26,290",971,"24,299",891,"25,467",668,"26,052",809,"25,294",765,758,3.0
    California,"37,009",723,"36,332",637,"35,936",686,"36,426",474,"36,671",559,"36,134",543,537,1.5
    Colorado,"40,706","1,552","38,905","1,487","36,373","1,605","38,662","1,079","39,806","1,249","37,639","1,271",2166 *,5.8 *
    Connecticut,"40,243","2,269","42,262","1,640","41,676","1,751","41,394","1,313","41,252","1,616","41,969","1,393",-717,-1.7
    Delaware,"34,928","1,848","36,890","1,225","38,036",895,"36,618",947,"35,909","1,275","37,463",876,-1554,-4.1
    District of Columbia,"30,748","1,182","30,969","1,138","28,797","1,820","30,171",966,"30,859",953,"29,883","1,231",976,3.3
    Florida,"29,745",612,"30,124",650,"30,111",745,"29,993",468,"29,935",518,"30,118",573,-183,-0.6

    Georgia,"34,099",897,"32,359","1,273","33,394","1,342","33,284",831,"33,229",898,"32,876","1,074",352,1.1
    Hawaii,"42,851","1,292","43,453","2,492","44,994","1,855","43,766","1,367","43,152","1,591","44,223","1,795",-1072,-2.4
