NAME,ORIGIN,RACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,1,0,4375157,4381912,4385910,4400019,4417445,4444983,4491139,4522188,4554497,4581420,4598451
Alabama,1,1,3131028,3128439,3124451,3127696,3132265,3144397,3167057,3181159,3194543,3205366,3208616
Alabama,1,2,1154109,1159749,1163654,1169990,1177537,1187604,1205350,1216925,1230092,1240016,1249297
Alabama,1,3,21956,22283,22649,23102,23448,23799,24303,24786,25214,25569,26110
Alabama,1,4,31978,33290,35066,37085,39733,42362,44890,47144,49371,52244,53841
Alabama,1,5,1083,1161,1233,1326,1424,1469,1618,1659,1802,1854,2023
Alabama,1,6,35003,36990,38857,40820,43038,45352,47921,50515,53475,56371,58564
Alabama,2,0,77016,85722,94179,103472,113284,124822,137842,150652,163709,176518,186847
Alabama,2,1,65847,72948,79828,87383,95507,105046,115999,126846,137598,147878,155849
Alabama,2,2,7345,7654,8018,8408,8838,9458,10131,10695,11521,12291,13044
Alabama,2,3,1306,1801,2317,2818,3307,3807,4363,4880,5508,6256,6898
Alabama,2,4,566,681,744,844,979,1044,1140,1310,1312,1503,1669
Alabama,2,5,525,802,1039,1299,1559,1821,2092,2337,2641,2942,3179
Alabama,2,6,1427,1836,2233,2720,3094,3646,4117,4584,5129,5648,6208
Alaska,1,0,602000,605725,612394,616997,626407,632524,639797,644071,650199,660663,674115
Alaska,1,1,426371,427257,430259,431601,436721,439277,443017,444259,446429,450661,458206
Alaska,1,2,21214,21525,22014,21786,21895,21579,21508,21667,21775,21723,22270
Alaska,1,3,97082,97176,97482,97992,98883,99703,100292,100427,100932,102248,103350
Alaska,1,4,25466,26542,27740,29066,30183,31402,32249,33103,34381,36610,38079
Alaska,1,5,3307,3586,3973,4383,4733,5112,5387,5781,6172,6781,7293
Alaska,1,6,28560,29639,30926,32169,33992,35451,37344,38834,40510,42640,44917
Alaska,2,0,25963,27989,29943,31417,32879,34422,35505,36229,37256,38232,39870
Alaska,2,1,20135,21345,22525,23311,24124,24924,25435,25737,26153,26708,27738
Alaska,2,2,1629,1744,1824,1847,1946,1998,2036,2118,2180,2256,2312
Alaska,2,3,1849,2156,2487,2725,2952,3185,3311,3376,3474,3521,3561
Alaska,2,4,541,656,742,863,894,948,1009,969,1107,1116,1146
Alaska,2,5,183,233,284,312,340,376,397,388,417,410,400
Alaska,2,6,1626,1855,2081,2359,2623,2991,3317,3641,3925,4221,4713
Arizona,1,0,3851197,3906561,3969818,4029456,4111398,4220738,4327178,4394036,4449496,4476334,4504823
Arizona,1,1,3303962,3341475,3384155,3423719,3481436,3557990,3626365,3662620,3690345,3697254,3709615
Arizona,1,2,152868,158955,165509,171619,180398,191685,205279,216675,227716,236554,241661
Arizona,1,3,237071,237858,240182,242579,244897,248601,252534,255265,257690,257580,258929
Arizona,1,4,92690,99053,105993,112539,120138,131191,144499,154566,162847,168607,173480
Arizona,1,5,6010,6416,6831,7366,7732,8499,9158,9836,10333,10810,11201
Arizona,1,6,58596,62804,67148,71634,76797,82772,89343,95074,100565,105529,109937
