NAME,ORIGIN,RACE,AGE,2021,2022,2023
Alabama,1,1,0,33033,33961,34123
Alabama,1,1,1,33131,33414,34466
Alabama,1,1,2,33950,33586,33943
Alabama,1,1,3,35471,34397,34217
Alabama,1,1,4,36074,35828,34877
Alabama,1,1,5,37172,36461,36279
Alabama,1,1,6,37312,37633,36830
Alabama,1,1,7,37339,37798,37979
Alabama,1,1,8,36698,37580,38110
Alabama,1,1,9,37003,37114,37974
Alabama,1,1,10,37398,37356,37522
Alabama,1,1,11,38078,37805,37809
Alabama,1,1,12,39251,38411,38304
Alabama,1,1,13,40682,39542,38755
Alabama,1,1,14,40738,41028,39953
Alabama,1,1,15,40260,41109,41454
Alabama,1,1,16,40213,40551,41448
Alabama,1,1,17,40671,40378,40733
Alabama,1,1,18,40583,40667,40423
Alabama,1,1,19,41867,41840,42373
Alabama,1,1,20,41498,40416,40801
Alabama,1,1,21,42085,42018,41256
Alabama,1,1,22,41703,42023,42065
Alabama,1,1,23,41455,41938,42314
Alabama,1,1,24,39852,40778,41288
Alabama,1,1,25,39341,39592,40587
Alabama,1,1,26,39303,39282,39591
Alabama,1,1,27,39673,39310,39417
Alabama,1,1,28,40159,39843,39555
Alabama,1,1,29,41361,40336,40112
Alabama,1,1,30,42839,41495,40573
Alabama,1,1,31,43313,43034,41767
Alabama,1,1,32,41428,43514,43335
Alabama,1,1,33,40025,41832,43780
Alabama,1,1,34,39284,40356,42112
Alabama,1,1,35,39387,39581,40577
Alabama,1,1,36,39590,39670,39886
Alabama,1,1,37,38941,39823,39981
Alabama,1,1,38,39672,39159,40072
Alabama,1,1,39,39946,39808,39401
Alabama,1,1,40,40023,40064,40006
Alabama,1,1,41,39893,40214,40431
Alabama,1,1,42,38832,40114,40421
Alabama,1,1,43,38809,39077,40423
Alabama,1,1,44,38972,38975,39319
Alabama,1,1,45,37575,39035,39064
Alabama,1,1,46,38590,37707,39223
Alabama,1,1,47,38893,38819,38020
Alabama,1,1,48,40142,38954,38904
Alabama,1,1,49,43153,40264,39146
Alabama,1,1,50,46618,43178,40267
Alabama,1,1,51,45460,46813,43485
Alabama,1,1,52,43581,45586,46915
Alabama,1,1,53,42238,43677,45704
Alabama,1,1,54,42947,42276,43773
Alabama,1,1,55,43766,42868,42286
Alabama,1,1,56,46414,43749,42863
Alabama,1,1,57,48033,46276,43740
Alabama,1,1,58,48044,47881,46206
Alabama,1,1,59,48767,47906,47896
Alabama,1,1,60,48948,48526,47755
Alabama,1,1,61,47595,48713,48320
Alabama,1,1,62,47007,47326,48534
Alabama,1,1,63,47081,46610,47129
Alabama,1,1,64,46775,46636,46241
Alabama,1,1,65,44945,46191,46154
Alabama,1,1,66,43945,44559,45836
Alabama,1,1,67,42868,43455,44094
Alabama,1,1,68,41201,42089,42841
Alabama,1,1,69,39938,40484,41488
Alabama,1,1,70,37930,39175,39893
Alabama,1,1,71,36562,37108,38388
Alabama,1,1,72,36693,35612,36246
Alabama,1,1,73,36511,35576,34600
Alabama,1,1,74,39697,35393,34626
Alabama,1,1,75,26862,38251,34200
Alabama,1,1,76,26019,25814,36980
Alabama,1,1,77,25620,24960,24850
Alabama,1,1,78,26201,24450,23935
Alabama,1,1,79,21605,24759,23165
Alabama,1,1,80,19090,20283,23429
Alabama,1,1,81,17537,17947,19188
Alabama,1,1,82,16219,16088,16609
Alabama,1,1,83,14935,14890,14911
Alabama,1,1,84,12728,13642,13727
Alabama,1,1,85,68320,68997,71636
Alabama,1,2,0,18766,18391,18397
Alabama,1,2,1,19014,18755,18497
Alabama,1,2,2,19279,19061,18859
Alabama,1,2,3,19420,19225,19151
Alabama,1,2,4,19171,19521,19204
Alabama,1,2,5,19154,19234,19558
Alabama,1,2,6,19401,19131,19235
Alabama,1,2,7,19110,19411,19105
Alabama,1,2,8,19044,19157,19559
Alabama,1,2,9,19058,19083,19168
Alabama,1,2,10,19053,19051,19123
Alabama,1,2,11,19699,19006,19097
Alabama,1,2,12,20286,19682,19036
Alabama,1,2,13,21182,20399,19876
Alabama,1,2,14,20678,21220,20405
Alabama,1,2,15,19894,20804,21363
Alabama,1,2,16,19230,19865,20768
Alabama,1,2,17,19124,19287,19882
Alabama,1,2,18,20648,20856,21173
Alabama,1,2,19,22764,22638,23169
Alabama,1,2,20,22607,21952,21737
Alabama,1,2,21,22125,22042,21290
Alabama,1,2,22,20731,21464,21283
Alabama,1,2,23,20229,20121,20794
Alabama,1,2,24,19676,19895,19713
Alabama,1,2,25,19162,19170,19313
