STATE,1988,1992,1996,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,31.4,27.2,19.9,15.5,11.9,11.9,11.3,11.3,10.2,9.1,8.8,7.7,6.5,6.3,5.7,5.4,5.1
Alaska,35.9,30,18.9,14.6,15.7,14.9,14.3,14.8,14.1,16.9,14.1,12.1,10.1,9.4,7.8,7.6,6.6
Arizona,39.4,31.6,26.5,21.5,17.8,16,14.5,15.3,11.8,9.1,9.3,7.8,6.7,5.8,5.6,5.9,5.4
Arkansas,27.2,23.2,16,12.3,8.5,10.2,9.9,9.8,9.1,8.8,7.7,7.1,5.8,5,4.2,3.9,4
California,75,62.6,46.6,36.3,26.3,26.5,27,25.1,22.7,20.2,17.9,15.9,14.4,12.7,11.4,10.3,9.6
Colorado,38.4,37.2,29.6,18.9,16.5,16.4,17.1,16,14.2,12.5,11,9.7,8.3,7.5,6.9,6.2,6.2
Connecticut,55.3,44.1,36.9,30.2,26.7,27.6,27.3,26,23.1,20,16.8,14,12.7,11.7,10.7,9.2,9.3
Delaware,49,43.5,23.8,31.1,24.8,28.3,34.3,32.7,26.3,28.2,22.7,16.8,15.2,13.5,12.1,11,8.4
District of Columbia,u,u,u,52.6,54.3,50,40.1,46.8,38.2,32.7,25.6,20.3,26.4,21.8,15.3,12.2,19.8
Florida,51.1,41.8,40.8,33.7,24.7,24.3,24.4,23.1,21.7,20.2,18.6,16.5,14.8,13.3,11.7,10.6,9.1
Georgia,35.7,33.8,25.4,18.3,14.8,14.1,15,16.5,15,13.3,12.6,11.3,10,9,8.2,7.9,7.4
Hawaii,65.9,68,40,34.3,25.1,26.5,26.7,27.2,23.8,23.9,23,18.3,13.2,11.4,9.5,8.4,8.3
Idaho,17.7,14,12,9.9,8.7,9.9,10.2,8.4,7.5,7,6,6.1,4.2,4.1,4,3.8,3.4
Illinois,42.2,32.1,34.9,27.8,19.1,18.5,19.1,19.9,17.6,15.7,14.5,13.3,12.3,10.6,9.3,8.4,8.6
Indiana,24.5,22,18.2,12.4,9.5,8.8,8.9,8.4,8.2,7.4,6.2,5.6,5.2,5.1,4.7,4.7,4.8
Iowa,26.7,16.1,11.6,12.1,10.3,10.5,10.8,10,10,8.9,7.7,6.5,4.8,4.5,4.3,4.2,3.5
Kansas,26.8,21.4,17,12.3,9.4,9.5,9.2,9.1,7.4,5.5,5,5,4.4,4.1,3.6,3.4,3.7
Kentucky,21.9,19.3,12,8.3,6.3,7,7.3,7,7.1,6.2,5.9,5,4.8,4.4,3.7,3.4,3.3
Louisiana,22.7,15.2,15.4,11.3,9.5,11.5,12.6,14.1,13,10.6,10.3,8,6.7,6.1,5.9,6.1,5.8
Maine,29.1,20.4,18.9,15.1,12.3,11.6,12.2,11.9,10.7,10.1,8.3,8.6,7.8,6.9,6.4,5.8,6.4
Maryland,58.5,51.9,45.7,38,25,23.2,22.8,22.3,22.4,22.7,23.5,18.2,17.1,15.2,13.3,12.6,12.7
Massachusetts,51.3,37.6,35.1,25.7,19.6,19.2,19.3,17.2,16,14.5,13.2,12.1,9.2,8.6,7.4,7,6.1
Michigan,47.3,36.6,28.4,24.2,19.4,18,17.1,17.8,16.7,14.4,12.8,11,10.1,9.1,7.9,7.5,7.1
Minnesota,28.7,18.5,15.5,12.5,10.6,10.6,10.9,9.8,9.1,7.7,7.4,6.4,5.6,4.9,4.6,4.8,4.7
Mississippi,16,19.2,15.2,15.9,11.1,10.9,10.6,11.9,10.2,9.3,8.2,7.4,6.8,6.1,5.1,4.6,5.1
