STATE,1988,1992,1996,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,110.5,116.4,102.4,89.8,70.8,75.3,74.9,73.1,69.2,62.8,58.9,55.5,48.2,45.3,42.4,40,38.1
Alaska,106.3,111.2,81.7,74.7,65.2,66.6,67.2,69.3,67.3,64.8,59.2,55,47.8,44.3,44.1,39.6,33.7
Arizona,126.6,131,115,104.4,90,91.1,87.5,82.3,71.3,60.5,56.1,53,46.9,42.2,37.7,34.7,32.3
Arkansas,115.9,115.3,105.8,92.8,79.7,84.2,83.1,82.5,79.5,72.9,68.1,61.8,58.2,52.7,50.2,45.9,43.8
California,152.5,156.2,124.4,96.3,75.4,77,77.2,73,66.9,60.3,54.2,49.4,44.1,39.4,35.3,31.7,28.7
Colorado,100.6,111,93.3,81.9,68.4,68.3,68.6,66.2,60.8,53.9,46.8,41.1,37.1,32.8,30.9,28.3,26.2
Connecticut,102.8,95.3,84.5,70.5,57.3,58.6,57.7,55.7,50.8,44.1,37.8,33.4,29.5,26.7,23.9,21.4,20.8
Delaware,117.6,118.2,90.7,91.7,75.4,79.8,84.7,81.9,69.1,67.9,59.9,48.6,46,39.9,35.2,35.6,31.5
District of Columbia,u,u,u,121.8,110.2,112.7,104.6,112.9,100.2,90.6,79.5,69.1,67.5,58.7,47.7,42.3,47.3
Florida,131.1,124.3,113.5,98,77.9,78.4,78.4,73.4,67.8,60.9,56.1,51.8,45.7,41.6,37.8,34.7,31.8
Georgia,121.1,126.2,108.2,95.1,78.6,80,80.6,78.2,72.9,64.4,59.5,52.9,47.4,43.8,39.7,36.8,34.5
Hawaii,131.3,139.8,102.8,93,71.4,75.9,75.8,76.6,70.6,65.5,61.1,53.8,44.7,40.7,35.5,32.4,31.9
Idaho,75.4,77.3,69.5,62.1,53.2,56.7,59,56.8,51.3,47.4,40.7,40.7,35.4,32.3,31.4,28.1,26
Illinois,111.2,110.9,104.8,88.1,67.3,68.1,69.2,68.1,62.4,57,51.3,48,43.1,39,35.5,31.8,30.4
Indiana,89.7,94.4,86.1,72.4,61,59.7,61.4,58.6,58,53.1,48.6,45.8,42,39.2,36.5,33.3,32.6
Iowa,70.3,66.3,57.6,54.3,48.6,50.7,51.2,51,49.5,44.1,38.8,36.1,31.7,28.5,27,25.3,23.1
Kansas,90.4,90.3,78,68.7,58.5,59.6,61,63,59.4,53.1,48.2,46.4,40.3,37.7,34.7,30,29.7
Kentucky,97.2,99,86.7,75.1,64.7,70.5,71.1,70.8,67.5,62.4,58.5,54.9,52.1,47.2,42.8,40.9,38.5
Louisiana,107.1,108.1,97.1,86.9,67.3,77,80.1,80.3,76.4,69.6,65.9,60.6,54.6,49.8,47.7,43.7,41.3
Maine,81.3,70.4,58.8,51.5,42.8,42.6,44.7,43,40.5,36.9,34,32.9,29.4,27.4,25.5,24.1,22.9
Maryland,124,117.8,105.1,91.2,66,65.9,66.3,63.6,61.5,57.7,55.2,46.5,41.9,38.1,35,33.1,31
Massachusetts,94.9,86.3,76,59.3,45.5,45.8,46.9,42.7,41,36.4,32.6,30.2,24.4,22,19.4,17.9,16.4
Michigan,108.4,108.3,87,74.8,60,59.7,59,58.4,56.7,52.3,47.4,43.5,39.2,35.3,31.9,29.5,27.4
Minnesota,69,63.5,55.8,49.7,42.3,44.4,45.5,42.5,39,35.4,31.3,29.3,26.4,24,21.5,20.3,19.7
Mississippi,106.4,121.4,105.5,101.6,82.2,92.7,95.7,89.9,85.9,76.7,69.6,63.4,58.2,52.1,47.2,44.2,42.6
Missouri,99.4,99.8,80.9,73.7,62.3,65.8,66.1,64.7,59.9,54.4,50.5,47,43.2,38.5,35.7,33.8,32.8
Montana,74.6,81.1,66.1,59.9,55.4,57.6,55,59.1,57.9,52.9,46.7,44.1,41.1,39.3,37.5,34.2,31.8
Nebraska,76.9,70.9,61.9,58.7,48.2,46.3,49.2,50.6,49,43.2,39.6,37.3,34.9,30.8,30.4,26.3,25.4
Nevada,139.4,143.1,138.8,115.2,93.3,93.7,90.9,84.7,76.8,68.9,61.9,56.4,49.5,47.9,45.5,40.2,36.4
New Hampshire,88.1,61.5,57.2,46.8,33.3,33.3,34.9,33.3,29.6,28.1,25.8,24.8,22.2,20.2,19.3,17.5,15.9
New Jersey,108.2,97.7,96.8,90.9,71,68.7,61.4,62.1,54,51.1,46.8,38.1,36.1,31.9,32.3,31.4,28.9
New Mexico,124.6,128.2,108.8,102.7,92.8,96,98.1,92.9,90.3,80.3,71.6,68.4,61.4,53.9,50,44.7,41.4
New York,112.8,117.9,103.2,90.5,75.4,74.3,72.7,71.7,68.1,63.3,58.5,52.3,45.7,42.1,38.3,35,33
North Carolina,121,120,102.6,94.7,73.4,74.5,74.5,72.4,67.5,59.4,52.8,48.9,44.3,40.1,36.4,32.9,31.9
North Dakota,59.4,58.9,49.7,41.4,40.7,38.4,42.5,42.5,42.2,41.8,40.3,37.8,34.1,34.2,31.6,29.1,24.3
Ohio,95.5,93.1,80.8,74,61.5,61.9,63.3,62.6,59.4,54,48.8,45.5,41.2,37.3,34.4,32,30.8
Oklahoma,106.2,100,90.1,85.2,74,78.1,80.7,79.6,78.9,69.2,64.9,64.1,57.8,52.2,46.2,43.7,39.8
Oregon,104.2,98.7,89.6,78.5,56.8,59.8,59.9,60.4,54.6,47.2,43.4,39.1,35.7,32.9,31.6,28.1,26
Pennsylvania,85.8,83.6,67.7,59.8,50.6,52.9,54.8,56.1,52.5,49,43.7,40.5,35.2,32.6,30.2,27.4,25.7
Rhode Island,85.2,93.4,80.3,65.3,55.4,54.7,55.6,53.5,48.9,44.3,41.4,36.2,31.7,27,26.2,24.8,22.1
South Carolina,114,109,92.9,88.1,75.7,79.4,79.2,76.7,71.8,66,58.6,54.6,48,43.1,39.6,35.8,33.6
South Dakota,72,73.8,60.6,53.4,50.3,52.4,56.5,52.9,52.4,46.4,46.6,44.4,39.1,35.8,34.7,32.7,30.4
Tennessee,110.3,111.3,96.6,88.4,77,77,76.8,75.7,69.9,62.6,58.2,54.6,49.3,46.7,42.8,39,36.7
Texas,116.3,121.9,112.4,101.1,87.2,90.6,90.1,88.7,84.5,75.9,67.7,63.1,57.7,51.7,47.3,42.6,38.7
Utah,72.3,64.6,57.5,51.9,42.8,46.5,49.2,47.9,42.2,38.1,33,32,28.7,27.1,24.8,22,21.5
Vermont,80.8,71,60.9,43.5,37.8,38.9,39.3,38.5,32.2,31.8,31.5,29.2,27.9,26,20.8,20,17.6
Virginia,103.7,100.6,87,71.7,59.7,59.6,59.6,56,52.8,48.2,43,39.8,35.8,30.5,28.7,26.1,24.6
Washington,106.8,107.3,86.5,75.1,59.2,60.5,62.6,60.7,55.9,49.8,46.7,42.1,36.9,34,31.6,29.4,26.6
West Virginia,78.3,85.3,74.4,66.4,59.9,61.3,64.3,64.7,67.6,64.5,63.3,59.6,53.8,49.6,43.2,40.4,37.1
Wisconsin,77,73,61.6,55.3,46.1,45.6,46.3,45.2,43.7,39.1,34.3,31.7,28.4,26.6,24.4,22.5,20.8
Wyoming,84.7,81.1,72.9,78.5,64.1,67.7,72.3,67.8,61.8,56.2,52,49.7,41.9,43.2,40.1,36.7,34.5
