"State, Year",abortion_rate,birth_rate,pregnancy_rate,"HIV Rate per 100,000","STD Rate per 100,000 People"
"Alabama, 1988",31.4,63.3,110.5,,
"Alaska, 1988",35.9,55.6,106.3,,
"Arizona, 1988",39.4,69.4,126.6,,
"Arkansas, 1988",27.2,71.6,115.9,,
"California, 1988",75,58.4,152.5,,
"Colorado, 1988",38.4,48.7,100.6,,
"Connecticut, 1988",55.3,35,102.8,,
"Delaware, 1988",49,53.1,117.6,,
"District of Columbia, 1988",,75.6,,,
"Florida, 1988",51.1,62.4,131.1,,
"Georgia, 1988",35.7,68.2,121.1,,
"Hawaii, 1988",65.9,49,131.3,,
"Idaho, 1988",17.7,46.5,75.4,,
"Illinois, 1988",42.2,54,111.2,,
"Indiana, 1988",24.5,52.4,89.7,,
"Iowa, 1988",26.7,34.1,70.3,,
"Kansas, 1988",26.8,50.8,90.4,,
"Kentucky, 1988",21.9,60.8,97.2,,
"Louisiana, 1988",22.7,68.4,107.1,,
"Maine, 1988",29.1,41.1,81.3,,
"Maryland, 1988",58.5,49.8,124,,
"Massachusetts, 1988",51.3,32,94.9,,
"Michigan, 1988",47.3,47,108.4,,
"Minnesota, 1988",28.7,31.2,69,,
"Mississippi, 1988",16,74,106.4,,
"Missouri, 1988",29.9,55.5,99.4,,
"Montana, 1988",23.9,40.2,74.6,,
"Nebraska, 1988",27.9,38.5,76.9,,
"Nevada, 1988",56.9,64,139.4,,
"New Hampshire, 1988",44.5,32.6,88.1,,
"New Jersey, 1988",57,37.9,108.2,,
"New Mexico, 1988",34.3,72.4,124.6,,
"New York, 1988",59.3,39.6,112.8,,
"North Carolina, 1988",43.6,60.9,121,,
"North Dakota, 1988",18.8,32.3,59.4,,
"Ohio, 1988",30.3,51.8,95.5,,
"Oklahoma, 1988",27.3,63.5,106.2,,
"Oregon, 1988",42.5,47.9,104.2,,
"Pennsylvania, 1988",33,41.3,85.8,,
"Rhode Island, 1988",35.7,38.3,85.2,,
"South Carolina, 1988",32.6,65.1,114,,
"South Dakota, 1988",15.1,46.1,72,,
"Tennessee, 1988",30.1,64.3,110.3,,
"Texas, 1988",30.4,69.1,116.3,,
"Utah, 1988",15.5,46,72.3,,
"Vermont, 1988",36.8,33.6,80.8,,
"Virginia, 1988",44.6,45.5,103.7,,
"Washington, 1988",45.7,47.1,106.8,,
"West Virginia, 1988",16.8,49.9,78.3,,
"Wisconsin, 1988",28.3,38.3,77,,
"Wyoming, 1988",23.2,49.3,84.7,,
"Alabama, 1992",27.2,72,116.4,,
"Alaska, 1992",30,65.2,111.2,,
"Arizona, 1992",31.6,80.2,131,,
"Arkansas, 1992",23.2,74.8,115.3,,
"California, 1992",62.6,72.8,156.2,,
"Colorado, 1992",37.2,58.4,111,,
"Connecticut, 1992",44.1,39,95.3,,
"Delaware, 1992",43.5,58.7,118.2,,
"District of Columbia, 1992",,106.7,,,
"Florida, 1992",41.8,65.2,124.3,,
"Georgia, 1992",33.8,74.2,126.2,,
"Hawaii, 1992",68,54.2,139.8,,
"Idaho, 1992",14,51.5,77.3,,
"Illinois, 1992",32.1,63,110.9,,
"Indiana, 1992",22,58.5,94.4,,
"Iowa, 1992",16.1,40.5,66.3,,
"Kansas, 1992",21.4,55.6,90.3,,
"Kentucky, 1992",19.3,64.8,99,,
"Louisiana, 1992",15.2,76.1,108.1,,
"Maine, 1992",20.4,40,70.4,,
"Maryland, 1992",51.9,50.6,117.8,,
"Massachusetts, 1992",37.6,37.5,86.3,,
"Michigan, 1992",36.6,56.6,108.3,,
"Minnesota, 1992",18.5,35.9,63.5,,
"Mississippi, 1992",19.2,83.6,121.4,,
"Missouri, 1992",21.9,63.1,99.8,,
"Montana, 1992",23.5,46,81.1,,
"Nebraska, 1992",19.5,41.1,70.9,,
"Nevada, 1992",53,70.6,143.1,,
"New Hampshire, 1992",21.8,31.3,61.5,,
"New Jersey, 1992",46.4,38.9,97.7,,
"New Mexico, 1992",29.6,79.7,128.2,,
"New York, 1992",58.6,44.5,117.9,,
"North Carolina, 1992",33.7,69.2,120,,
"North Dakota, 1992",13.3,36.9,58.9,,
"Ohio, 1992",21.4,58,93.1,,
"Oklahoma, 1992",14.8,69.8,100,,
"Oregon, 1992",31.9,53,98.7,,
"Pennsylvania, 1992",27.1,44.8,83.6,,
"Rhode Island, 1992",34.5,46.2,93.4,,
"South Carolina, 1992",23,69.7,109,,
"South Dakota, 1992",14.4,48.3,73.8,,
"Tennessee, 1992",23.9,70.9,111.3,,
"Texas, 1992",25.5,78.2,121.9,,
"Utah, 1992",8.9,45.7,64.6,,
"Vermont, 1992",25.7,35.6,71,,
"Virginia, 1992",35,51.7,100.6,,
"Washington, 1992",41.9,51,107.3,,
"West Virginia, 1992",16.2,56.3,85.3,,
"Wisconsin, 1992",20.6,42,73,,
"Wyoming, 1992",19.4,49.8,81.1,,
"Alabama, 1996",19.9,67.1,102.4,,
"Alaska, 1996",18.9,50.8,81.7,,
"Arizona, 1996",26.5,71.5,115,,
"Arkansas, 1996",16,73.5,105.8,,
"California, 1996",46.6,61,124.4,,
"Colorado, 1996",29.6,50.7,93.3,,
"Connecticut, 1996",36.9,36.6,84.5,,
"Delaware, 1996",23.8,53.8,90.7,,
"District of Columbia, 1996",,79.2,,,
"Florida, 1996",40.8,57.2,113.5,,
"Georgia, 1996",25.4,66.8,108.2,,
"Hawaii, 1996",40,48.9,102.8,,
"Idaho, 1996",12,46.9,69.5,,
"Illinois, 1996",34.9,55.3,104.8,,
"Indiana, 1996",18.2,55.1,86.1,,
"Iowa, 1996",11.6,37.4,57.6,,
"Kansas, 1996",17,49.4,78,,
"Kentucky, 1996",12,61.2,86.7,,
"Louisiana, 1996",15.4,66.8,97.1,,
"Maine, 1996",18.9,31.7,58.8,,
"Maryland, 1996",45.7,45.7,105.1,,
"Massachusetts, 1996",35.1,31.1,76,,
"Michigan, 1996",28.4,46.4,87,,
"Minnesota, 1996",15.5,32.3,55.8,,
"Mississippi, 1996",15.2,74,105.5,,
"Missouri, 1996",15.5,53.2,80.9,,
"Montana, 1996",17.3,39.3,66.1,,
"Nebraska, 1996",13.8,38.9,61.9,,
"Nevada, 1996",50.4,69.5,138.8,,
"New Hampshire, 1996",21.2,28.2,57.2,,
"New Jersey, 1996",49.6,35.2,96.8,,
"New Mexico, 1996",22,70.5,108.8,,
"New York, 1996",50.3,39.9,103.2,,
"North Carolina, 1996",25.3,62.3,102.6,,
"North Dakota, 1996",10.7,31.6,49.7,,
"Ohio, 1996",18.5,50.4,80.8,,
"Oklahoma, 1996",13,63.1,90.1,,
"Oregon, 1996",26.4,50.5,89.6,,
"Pennsylvania, 1996",19.7,38.4,67.7,,
"Rhode Island, 1996",30.6,38.9,80.3,,
"South Carolina, 1996",18.7,60.2,92.9,,
"South Dakota, 1996",11.4,40.1,60.6,,
"Tennessee, 1996",17.4,64.5,96.6,,
"Texas, 1996",22.4,73.1,112.4,,
"Utah, 1996",7.3,41.2,57.5,,
"Vermont, 1996",23.2,29.5,60.9,,
"Virginia, 1996",29.6,45.4,87,,
"Washington, 1996",28.9,45.6,86.5,,
"West Virginia, 1996",12.5,50.5,74.4,,
"Wisconsin, 1996",15.7,36.9,61.6,,
"Wyoming, 1996",17.5,44.7,72.9,,
"Alabama, 2000",15.5,60.6,89.8,,
"Alaska, 2000",14.6,48.9,74.7,,
"Arizona, 2000",21.5,67.4,104.4,,
"Arkansas, 2000",12.3,66,92.8,,
"California, 2000",36.3,46.9,96.3,,
"Colorado, 2000",18.9,50.9,81.9,,
"Connecticut, 2000",30.2,31.1,70.5,,
"Delaware, 2000",31.1,47.9,91.7,,
"District of Columbia, 2000",52.6,53.3,121.8,,
"Florida, 2000",33.7,50.8,98,,
"Georgia, 2000",18.3,62.5,95.1,,
"Hawaii, 2000",34.3,46.1,93,,
"Idaho, 2000",9.9,42.7,62.1,,
"Illinois, 2000",27.8,47.9,88.1,,
"Indiana, 2000",12.4,49,72.4,,
"Iowa, 2000",12.1,34.2,54.3,,
"Kansas, 2000",12.3,45.9,68.7,,
"Kentucky, 2000",8.3,55,75.1,,
"Louisiana, 2000",11.3,62,86.9,,
"Maine, 2000",15.1,29.1,51.5,,
"Maryland, 2000",38,41.2,91.2,,
"Massachusetts, 2000",25.7,25.8,59.3,,
"Michigan, 2000",24.2,40.1,74.8,,
"Minnesota, 2000",12.5,29.9,49.7,,
"Mississippi, 2000",15.9,70.1,101.6,,
"Missouri, 2000",14.1,48.5,73.7,,
"Montana, 2000",14.5,36.6,59.9,,
"Nebraska, 2000",12.3,37.6,58.7,,
"Nevada, 2000",36.8,62.3,115.2,,
"New Hampshire, 2000",17.2,23.3,46.8,,
"New Jersey, 2000",48,31.8,90.9,,
"New Mexico, 2000",21.9,65.5,102.7,,
"New York, 2000",46,33.2,90.5,,
"North Carolina, 2000",22.2,58.6,94.7,,
"North Dakota, 2000",7.9,27.3,41.4,,
"Ohio, 2000",17.1,46,74,,
"Oklahoma, 2000",12.4,59.6,85.2,,
"Oregon, 2000",24.8,42.7,78.5,,
"Pennsylvania, 2000",17.3,34,59.8,,
"Rhode Island, 2000",22.8,33.5,65.3,,
"South Carolina, 2000",17,57.8,88.1,,
"South Dakota, 2000",7.1,38,53.4,,
"Tennessee, 2000",15.7,59.3,88.4,,
"Texas, 2000",17.1,68.5,101.1,,
"Utah, 2000",5.8,38,51.9,,
"Vermont, 2000",14.1,23.4,43.5,,
"Virginia, 2000",20.7,40.7,71.7,,
"Washington, 2000",25.8,39,75.1,,
"West Virginia, 2000",9.6,46.5,66.4,,
"Wisconsin, 2000",12,35.1,55.3,,
"Wyoming, 2000",25.9,41.6,78.5,,
"Alabama, 2005",11.9,48.1,70.8,,
"Alaska, 2005",15.7,39.9,65.2,,
"Arizona, 2005",17.8,58.7,90,,
"Arkansas, 2005",8.5,58.6,79.7,,
"California, 2005",26.3,38.7,75.4,,
"Colorado, 2005",16.5,41.8,68.4,,
"Connecticut, 2005",26.7,23.3,57.3,,
"Delaware, 2005",24.8,40.1,75.4,,
"District of Columbia, 2005",54.3,42.1,110.2,,
"Florida, 2005",24.7,42.3,77.9,,
"Georgia, 2005",14.8,52,78.6,,
"Hawaii, 2005",25.1,36.5,71.4,,
"Idaho, 2005",8.7,36.4,53.2,,
"Illinois, 2005",19.1,38.5,67.3,,
"Indiana, 2005",9.5,42.1,61,,
"Iowa, 2005",10.3,31.1,48.6,,
"Kansas, 2005",9.4,40.1,58.5,,
"Kentucky, 2005",6.3,48.1,64.7,,
"Louisiana, 2005",9.5,47.3,67.3,,
"Maine, 2005",12.3,24.4,42.8,,
"Maryland, 2005",25,32.1,66,,
"Massachusetts, 2005",19.6,20,45.5,,
"Michigan, 2005",19.4,32.2,60,,
"Minnesota, 2005",10.6,25.5,42.3,,
"Mississippi, 2005",11.1,58.3,82.2,,
"Missouri, 2005",11.1,41.7,62.3,,
"Montana, 2005",12.8,34.5,55.4,,
"Nebraska, 2005",7.7,33.1,48.2,,
"Nevada, 2005",28.6,51.6,93.3,,
"New Hampshire, 2005",10.7,18,33.3,,
"New Jersey, 2005",38.1,24.2,71,,
"New Mexico, 2005",17.6,61.2,92.8,,
"New York, 2005",40.5,25.7,75.4,,
"North Carolina, 2005",15.5,47,73.4,,
"North Dakota, 2005",7.5,27,40.7,,
"Ohio, 2005",14.1,38.3,61.5,,
"Oklahoma, 2005",9.7,52.8,74,,
"Oregon, 2005",15.9,32.7,56.8,,
"Pennsylvania, 2005",14.2,29.2,50.6,,
"Rhode Island, 2005",20.1,27.8,55.4,,
"South Carolina, 2005",15.7,48.7,75.7,,
"South Dakota, 2005",5.6,36.8,50.3,,
"Tennessee, 2005",11.9,53.3,77,,
"Texas, 2005",12.9,60.9,87.2,,
"Utah, 2005",5.6,30.5,42.8,,
"Vermont, 2005",15.4,17.4,37.8,,
"Virginia, 2005",17.6,33.6,59.7,,
"Washington, 2005",19.9,31.1,59.2,,
"West Virginia, 2005",8.4,42.2,59.9,,
"Wisconsin, 2005",9.4,29.7,46.1,,
"Wyoming, 2005",11.7,42.7,64.1,,
"Alabama, 2006",11.9,51.8,75.3,,
"Alaska, 2006",14.9,41.8,66.6,,
"Arizona, 2006",16,61.2,91.1,,
"Arkansas, 2006",10.2,60.8,84.2,,
"California, 2006",26.5,39.9,77,,
"Colorado, 2006",16.4,41.9,68.3,,
"Connecticut, 2006",27.6,23.5,58.6,,
"Delaware, 2006",28.3,40.6,79.8,,
"District of Columbia, 2006",50,48.1,112.7,,
"Florida, 2006",24.3,43.1,78.4,,
"Georgia, 2006",14.1,53.7,80,,
"Hawaii, 2006",26.5,39,75.9,,
"Idaho, 2006",9.9,38.1,56.7,,
"Illinois, 2006",18.5,39.8,68.1,,
"Indiana, 2006",8.8,41.8,59.7,,
"Iowa, 2006",10.5,32.6,50.7,,
"Kansas, 2006",9.5,40.9,59.6,,
"Kentucky, 2006",7,52.3,70.5,,
"Louisiana, 2006",11.5,53.6,77,,
"Maine, 2006",11.6,24.9,42.6,,
"Maryland, 2006",23.2,33.7,65.9,,
"Massachusetts, 2006",19.2,20.6,45.8,,
"Michigan, 2006",18,33.2,59.7,,
"Minnesota, 2006",10.6,27.3,44.4,,
