,YEAR,STATE,AGE,HIV,"HIV Rate per 100,000 People","HIV Rate per 100,000 People (Adjusted)"
0,2008,Alabama,13-24,167.0,21.3,6.743137254901962
1,2009,Alabama,13-24,194.0,24.7,9.819607843137254
2,2010,Alabama,13-24,190.0,23.6,8.239215686274513
3,2011,Alabama,13-24,194.0,24.1,9.25294117647059
4,2012,Alabama,13-24,195.0,24.2,9.394117647058822
5,2013,Alabama,13-24,180.0,22.3,8.301960784313726
6,2014,Alabama,13-24,204.0,25.4,11.070588235294117
7,2015,Alabama,13-24,200.0,25.2,11.060784313725488
8,2016,Alabama,13-24,174.0,22.3,8.98235294117647
9,2017,Alabama,13-24,188.0,24.4,11.035294117647057
10,2018,Alabama,13-24,185.0,24.2,11.862745098039214
11,2019,Alabama,13-24,163.0,21.4,9.34313725490196
12,2020,Alabama,13-24,163.0,20.8,11.207843137254903
13,2021,Alabama,13-24,150.0,19.0,8.370588235294116
14,2022,Alabama,13-24,138.0,19.0,8.370588235294116
15,2023,Alabama,13-24,138.0,19.0,8.370588235294116
16,2008,Alaska,13-24,5.0,3.7,-10.856862745098038
17,2009,Alaska,13-24,3.0,2.3,-12.580392156862747
18,2010,Alaska,13-24,5.0,3.9,-11.460784313725489
19,2011,Alaska,13-24,8.0,6.3,-8.547058823529412
20,2012,Alaska,13-24,5.0,3.9,-10.905882352941177
21,2013,Alaska,13-24,4.0,3.1,-10.898039215686275
22,2014,Alaska,13-24,7.0,5.4,-8.92941176470588
23,2015,Alaska,13-24,5.0,4.0,-10.139215686274511
24,2016,Alaska,13-24,4.0,3.2,-10.117647058823529
25,2017,Alaska,13-24,9.0,7.5,-5.864705882352942
26,2018,Alaska,13-24,5.0,4.2,-8.137254901960784
27,2019,Alaska,13-24,6.0,5.2,-6.856862745098039
28,2020,Alaska,13-24,6.0,5.2,-4.3921568627450975
29,2021,Alaska,13-24,5.0,4.3,-6.329411764705884
30,2022,Alaska,13-24,10.0,4.3,-6.329411764705884
31,2023,Alaska,13-24,10.0,4.3,-6.329411764705884
32,2008,Arizona,13-24,112.0,10.6,-3.9568627450980394
33,2009,Arizona,13-24,97.0,9.1,-5.780392156862746
34,2010,Arizona,13-24,98.0,9.0,-6.360784313725489
35,2011,Arizona,13-24,93.0,8.5,-6.347058823529412
36,2012,Arizona,13-24,121.0,10.9,-3.905882352941177
37,2013,Arizona,13-24,143.0,12.7,-1.2980392156862752
38,2014,Arizona,13-24,167.0,14.7,0.3705882352941181
39,2015,Arizona,13-24,144.0,12.7,-1.4392156862745118
40,2016,Arizona,13-24,149.0,13.1,-0.21764705882353041
41,2017,Arizona,13-24,136.0,11.9,-1.4647058823529413
42,2018,Arizona,13-24,154.0,13.3,0.9627450980392158
43,2019,Arizona,13-24,167.0,14.3,2.2431372549019617
44,2020,Arizona,13-24,136.0,11.8,2.207843137254903
45,2021,Arizona,13-24,124.0,10.6,-0.029411764705884025
46,2022,Arizona,13-24,147.0,10.6,-0.029411764705884025
47,2023,Arizona,13-24,147.0,10.6,-0.029411764705884025
48,2008,Arkansas,13-24,44.0,9.4,-5.156862745098039
49,2009,Arkansas,13-24,66.0,14.1,-0.7803921568627459
50,2010,Arkansas,13-24,52.0,10.8,-4.560784313725488
51,2011,Arkansas,13-24,68.0,13.9,-0.947058823529412
52,2012,Arkansas,13-24,76.0,15.6,0.7941176470588225
53,2013,Arkansas,13-24,84.0,17.1,3.101960784313727
54,2014,Arkansas,13-24,103.0,21.0,6.670588235294119
55,2015,Arkansas,13-24,72.0,14.8,0.6607843137254896
56,2016,Arkansas,13-24,90.0,18.7,5.382352941176469
57,2017,Arkansas,13-24,85.0,17.7,4.335294117647058
58,2018,Arkansas,13-24,80.0,16.7,4.362745098039214
59,2019,Arkansas,13-24,73.0,15.3,3.2431372549019617
60,2020,Arkansas,13-24,64.0,13.3,3.707843137254903
61,2021,Arkansas,13-24,66.0,13.6,2.970588235294116
62,2022,Arkansas,13-24,49.0,13.6,2.970588235294116
63,2023,Arkansas,13-24,49.0,13.6,2.970588235294116
64,2008,California,13-24,910.0,14.3,-0.2568627450980383
65,2009,California,13-24,819.0,12.8,-2.080392156862745
66,2010,California,13-24,936.0,14.1,-1.2607843137254893
67,2011,California,13-24,880.0,13.3,-1.5470588235294116
68,2012,California,13-24,946.0,14.3,-0.5058823529411764
69,2013,California,13-24,855.0,13.0,-0.9980392156862745
70,2014,California,13-24,989.0,15.1,0.7705882352941185
71,2015,California,13-24,1052.0,16.2,2.060784313725488
72,2016,California,13-24,1032.0,16.2,2.8823529411764692
73,2017,California,13-24,974.0,15.4,2.0352941176470587
74,2018,California,13-24,932.0,14.9,2.5627450980392155
75,2019,California,13-24,805.0,13.0,0.943137254901961
76,2020,California,13-24,670.0,10.8,1.207843137254903
77,2021,California,13-24,718.0,11.6,0.970588235294116
78,2022,California,13-24,733.0,11.6,0.970588235294116
79,2023,California,13-24,733.0,11.6,0.970588235294116
80,2008,Colorado,13-24,55.0,6.7,-7.856862745098039
81,2009,Colorado,13-24,59.0,7.2,-7.680392156862745
82,2010,Colorado,13-24,72.0,8.8,-6.560784313725488
