,STATE,YEAR,Pregnancy Rate per 1000 People,AGE,Pregnancy Rate per 1000 People (Adjusted),"Pregnancy Rate per 100,000 People (Adjusted)"
0,Alabama,1988,110.5,15-19,9.718,971.8
1,Alabama,1989,111.975,15-19,11.36,1136
2,Alabama,1990,113.45,15-19,13.002,1300.2
3,Alabama,1991,114.925,15-19,14.644,1464.4
4,Alabama,1992,116.4,15-19,16.286,1628.6
5,Alabama,1993,112.9,15-19,16.174,1617.4
6,Alabama,1994,109.4,15-19,16.062,1606.2
7,Alabama,1995,105.9,15-19,15.95,1595
8,Alabama,1996,102.4,15-19,15.838,1583.8
9,Alabama,1997,99.25,15-19,15.1555,1515.55
10,Alabama,1998,96.1,15-19,14.473,1447.3
11,Alabama,1999,92.95,15-19,13.7905,1379.05
12,Alabama,2000,89.8,15-19,12.22352941,1222.352941
13,Alabama,2001,86,15-19,11.06196078,1106.196078
14,Alabama,2002,82.2,15-19,9.900392157,990.0392157
15,Alabama,2003,78.4,15-19,8.738823529,873.8823529
16,Alabama,2004,74.6,15-19,7.577254902,757.7254902
17,Alabama,2005,70.8,15-19,6.415686275,641.5686275
18,Alabama,2006,75.3,15-19,9.088235294,908.8235294
19,Alabama,2007,74.9,15-19,8.092156863,809.2156863
20,Alabama,2008,73.1,15-19,7.711764706,771.1764706
21,Alabama,2009,69.2,15-19,8.025490196,802.5490196
22,Alabama,2010,62.8,15-19,7.184313725,718.4313725
23,Alabama,2011,58.9,15-19,8.098039216,809.8039216
24,Alabama,2012,55.5,15-19,8.735294118,873.5294118
25,Alabama,2013,48.2,15-19,6.17254902,617.254902
26,Alabama,2014,45.3,15-19,6.949019608,694.9019608
27,Alabama,2015,42.4,15-19,7.103921569,710.3921569
28,Alabama,2016,40,15-19,7.570588235,757.0588235
29,Alabama,2017,38.1,15-19,7.698039216,769.8039216
30,Alaska,1988,106.3,15-19,5.518,551.8
31,Alaska,1989,107.525,15-19,6.91,691
32,Alaska,1990,108.75,15-19,8.302,830.2
33,Alaska,1991,109.975,15-19,9.694,969.4
34,Alaska,1992,111.2,15-19,11.086,1108.6
35,Alaska,1993,103.825,15-19,7.099,709.9
36,Alaska,1994,96.45,15-19,3.112,311.2
37,Alaska,1995,89.075,15-19,-0.875,-87.5
38,Alaska,1996,81.7,15-19,-4.862,-486.2
39,Alaska,1997,79.95,15-19,-4.1445,-414.45
40,Alaska,1998,78.2,15-19,-3.427,-342.7
41,Alaska,1999,76.45,15-19,-2.7095,-270.95
42,Alaska,2000,74.7,15-19,-2.876470588,-287.6470588
43,Alaska,2001,72.8,15-19,-2.138039216,-213.8039216
44,Alaska,2002,70.9,15-19,-1.399607843,-139.9607843
45,Alaska,2003,69,15-19,-0.661176471,-66.11764706
46,Alaska,2004,67.1,15-19,0.077254902,7.725490196
47,Alaska,2005,65.2,15-19,0.815686275,81.56862745
48,Alaska,2006,66.6,15-19,0.388235294,38.82352941
49,Alaska,2007,67.2,15-19,0.392156863,39.21568627
50,Alaska,2008,69.3,15-19,3.911764706,391.1764706
51,Alaska,2009,67.3,15-19,6.125490196,612.5490196
52,Alaska,2010,64.8,15-19,9.184313725,918.4313725
53,Alaska,2011,59.2,15-19,8.398039216,839.8039216
54,Alaska,2012,55,15-19,8.235294118,823.5294118
55,Alaska,2013,47.8,15-19,5.77254902,577.254902
56,Alaska,2014,44.3,15-19,5.949019608,594.9019608
57,Alaska,2015,44.1,15-19,8.803921569,880.3921569
58,Alaska,2016,39.6,15-19,7.170588235,717.0588235
59,Alaska,2017,33.7,15-19,3.298039216,329.8039216
60,Arizona,1988,126.6,15-19,25.818,2581.8
61,Arizona,1989,127.7,15-19,27.085,2708.5
62,Arizona,1990,128.8,15-19,28.352,2835.2
63,Arizona,1991,129.9,15-19,29.619,2961.9
64,Arizona,1992,131,15-19,30.886,3088.6
65,Arizona,1993,127,15-19,30.274,3027.4
66,Arizona,1994,123,15-19,29.662,2966.2
67,Arizona,1995,119,15-19,29.05,2905
68,Arizona,1996,115,15-19,28.438,2843.8
69,Arizona,1997,112.35,15-19,28.2555,2825.55
70,Arizona,1998,109.7,15-19,28.073,2807.3
71,Arizona,1999,107.05,15-19,27.8905,2789.05
72,Arizona,2000,104.4,15-19,26.82352941,2682.352941
73,Arizona,2001,101.52,15-19,26.58196078,2658.196078
74,Arizona,2002,98.64,15-19,26.34039216,2634.039216
75,Arizona,2003,95.76,15-19,26.09882353,2609.882353
76,Arizona,2004,92.88,15-19,25.8572549,2585.72549
77,Arizona,2005,90,15-19,25.61568627,2561.568627
78,Arizona,2006,91.1,15-19,24.88823529,2488.823529
79,Arizona,2007,87.5,15-19,20.69215686,2069.215686
80,Arizona,2008,82.3,15-19,16.91176471,1691.176471
81,Arizona,2009,71.3,15-19,10.1254902,1012.54902
82,Arizona,2010,60.5,15-19,4.884313725,488.4313725
83,Arizona,2011,56.1,15-19,5.298039216,529.8039216
84,Arizona,2012,53,15-19,6.235294118,623.5294118
85,Arizona,2013,46.9,15-19,4.87254902,487.254902
86,Arizona,2014,42.2,15-19,3.849019608,384.9019608
87,Arizona,2015,37.7,15-19,2.403921569,240.3921569
88,Arizona,2016,34.7,15-19,2.270588235,227.0588235
89,Arizona,2017,32.3,15-19,1.898039216,189.8039216
90,Arkansas,1988,115.9,15-19,15.118,1511.8
91,Arkansas,1989,115.75,15-19,15.135,1513.5
92,Arkansas,1990,115.6,15-19,15.152,1515.2
93,Arkansas,1991,115.45,15-19,15.169,1516.9
94,Arkansas,1992,115.3,15-19,15.186,1518.6
95,Arkansas,1993,112.925,15-19,16.199,1619.9
96,Arkansas,1994,110.55,15-19,17.212,1721.2
97,Arkansas,1995,108.175,15-19,18.225,1822.5
98,Arkansas,1996,105.8,15-19,19.238,1923.8
99,Arkansas,1997,102.55,15-19,18.4555,1845.55
100,Arkansas,1998,99.3,15-19,17.673,1767.3
101,Arkansas,1999,96.05,15-19,16.8905,1689.05
102,Arkansas,2000,92.8,15-19,15.22352941,1522.352941
103,Arkansas,2001,90.18,15-19,15.24196078,1524.196078
104,Arkansas,2002,87.56,15-19,15.26039216,1526.039216
105,Arkansas,2003,84.94,15-19,15.27882353,1527.882353
106,Arkansas,2004,82.32,15-19,15.2972549,1529.72549
107,Arkansas,2005,79.7,15-19,15.31568627,1531.568627
108,Arkansas,2006,84.2,15-19,17.98823529,1798.823529
109,Arkansas,2007,83.1,15-19,16.29215686,1629.215686
110,Arkansas,2008,82.5,15-19,17.11176471,1711.176471
111,Arkansas,2009,79.5,15-19,18.3254902,1832.54902
112,Arkansas,2010,72.9,15-19,17.28431373,1728.431373
113,Arkansas,2011,68.1,15-19,17.29803922,1729.803922
114,Arkansas,2012,61.8,15-19,15.03529412,1503.529412
115,Arkansas,2013,58.2,15-19,16.17254902,1617.254902
116,Arkansas,2014,52.7,15-19,14.34901961,1434.901961
117,Arkansas,2015,50.2,15-19,14.90392157,1490.392157
118,Arkansas,2016,45.9,15-19,13.47058824,1347.058824
119,Arkansas,2017,43.8,15-19,13.39803922,1339.803922
120,California,1988,152.5,15-19,51.718,5171.8
121,California,1989,153.425,15-19,52.81,5281
122,California,1990,154.35,15-19,53.902,5390.2
123,California,1991,155.275,15-19,54.994,5499.4
124,California,1992,156.2,15-19,56.086,5608.6
125,California,1993,148.25,15-19,51.524,5152.4
126,California,1994,140.3,15-19,46.962,4696.2
127,California,1995,132.35,15-19,42.4,4240
128,California,1996,124.4,15-19,37.838,3783.8
129,California,1997,117.375,15-19,33.2805,3328.05
130,California,1998,110.35,15-19,28.723,2872.3
131,California,1999,103.325,15-19,24.1655,2416.55
132,California,2000,96.3,15-19,18.72352941,1872.352941
133,California,2001,92.12,15-19,17.18196078,1718.196078
134,California,2002,87.94,15-19,15.64039216,1564.039216
135,California,2003,83.76,15-19,14.09882353,1409.882353
136,California,2004,79.58,15-19,12.5572549,1255.72549
137,California,2005,75.4,15-19,11.01568627,1101.568627
138,California,2006,77,15-19,10.78823529,1078.823529
139,California,2007,77.2,15-19,10.39215686,1039.215686
140,California,2008,73,15-19,7.611764706,761.1764706
141,California,2009,66.9,15-19,5.725490196,572.5490196
142,California,2010,60.3,15-19,4.684313725,468.4313725
143,California,2011,54.2,15-19,3.398039216,339.8039216
144,California,2012,49.4,15-19,2.635294118,263.5294118
145,California,2013,44.1,15-19,2.07254902,207.254902
146,California,2014,39.4,15-19,1.049019608,104.9019608
147,California,2015,35.3,15-19,0.003921569,0.392156863
148,California,2016,31.7,15-19,-0.729411765,-72.94117647
149,California,2017,28.7,15-19,-1.701960784,-170.1960784
150,Colorado,1988,100.6,15-19,-0.182,-18.2
151,Colorado,1989,103.2,15-19,2.585,258.5
152,Colorado,1990,105.8,15-19,5.352,535.2
153,Colorado,1991,108.4,15-19,8.119,811.9
154,Colorado,1992,111,15-19,10.886,1088.6
155,Colorado,1993,106.575,15-19,9.849,984.9
156,Colorado,1994,102.15,15-19,8.812,881.2
157,Colorado,1995,97.725,15-19,7.775,777.5
158,Colorado,1996,93.3,15-19,6.738,673.8
159,Colorado,1997,90.45,15-19,6.3555,635.55
160,Colorado,1998,87.6,15-19,5.973,597.3
161,Colorado,1999,84.75,15-19,5.5905,559.05
162,Colorado,2000,81.9,15-19,4.323529412,432.3529412
163,Colorado,2001,79.2,15-19,4.261960784,426.1960784
164,Colorado,2002,76.5,15-19,4.200392157,420.0392157
165,Colorado,2003,73.8,15-19,4.138823529,413.8823529
166,Colorado,2004,71.1,15-19,4.077254902,407.7254902
167,Colorado,2005,68.4,15-19,4.015686275,401.5686275
168,Colorado,2006,68.3,15-19,2.088235294,208.8235294
169,Colorado,2007,68.6,15-19,1.792156863,179.2156863
170,Colorado,2008,66.2,15-19,0.811764706,81.17647059
171,Colorado,2009,60.8,15-19,-0.374509804,-37.45098039
172,Colorado,2010,53.9,15-19,-1.715686275,-171.5686275
173,Colorado,2011,46.8,15-19,-4.001960784,-400.1960784
174,Colorado,2012,41.1,15-19,-5.664705882,-566.4705882
175,Colorado,2013,37.1,15-19,-4.92745098,-492.745098
176,Colorado,2014,32.8,15-19,-5.550980392,-555.0980392
177,Colorado,2015,30.9,15-19,-4.396078431,-439.6078431
178,Colorado,2016,28.3,15-19,-4.129411765,-412.9411765
179,Colorado,2017,26.2,15-19,-4.201960784,-420.1960784
180,Connecticut,1988,102.8,15-19,2.018,201.8
181,Connecticut,1989,100.925,15-19,0.31,31
182,Connecticut,1990,99.05,15-19,-1.398,-139.8
183,Connecticut,1991,97.175,15-19,-3.106,-310.6
184,Connecticut,1992,95.3,15-19,-4.814,-481.4
185,Connecticut,1993,92.6,15-19,-4.126,-412.6
186,Connecticut,1994,89.9,15-19,-3.438,-343.8
187,Connecticut,1995,87.2,15-19,-2.75,-275
188,Connecticut,1996,84.5,15-19,-2.062,-206.2
189,Connecticut,1997,81,15-19,-3.0945,-309.45
190,Connecticut,1998,77.5,15-19,-4.127,-412.7
191,Connecticut,1999,74,15-19,-5.1595,-515.95
192,Connecticut,2000,70.5,15-19,-7.076470588,-707.6470588
193,Connecticut,2001,67.86,15-19,-7.078039216,-707.8039216
194,Connecticut,2002,65.22,15-19,-7.079607843,-707.9607843
195,Connecticut,2003,62.58,15-19,-7.081176471,-708.1176471
196,Connecticut,2004,59.94,15-19,-7.082745098,-708.2745098
197,Connecticut,2005,57.3,15-19,-7.084313725,-708.4313725
198,Connecticut,2006,58.6,15-19,-7.611764706,-761.1764706
199,Connecticut,2007,57.7,15-19,-9.107843137,-910.7843137
200,Connecticut,2008,55.7,15-19,-9.688235294,-968.8235294
201,Connecticut,2009,50.8,15-19,-10.3745098,-1037.45098
202,Connecticut,2010,44.1,15-19,-11.51568627,-1151.568627
203,Connecticut,2011,37.8,15-19,-13.00196078,-1300.196078
204,Connecticut,2012,33.4,15-19,-13.36470588,-1336.470588
205,Connecticut,2013,29.5,15-19,-12.52745098,-1252.745098
206,Connecticut,2014,26.7,15-19,-11.65098039,-1165.098039
207,Connecticut,2015,23.9,15-19,-11.39607843,-1139.607843
208,Connecticut,2016,21.4,15-19,-11.02941176,-1102.941176
209,Connecticut,2017,20.8,15-19,-9.601960784,-960.1960784
210,Delaware,1988,117.6,15-19,16.818,1681.8
211,Delaware,1989,117.75,15-19,17.135,1713.5
212,Delaware,1990,117.9,15-19,17.452,1745.2
213,Delaware,1991,118.05,15-19,17.769,1776.9
214,Delaware,1992,118.2,15-19,18.086,1808.6
215,Delaware,1993,111.325,15-19,14.599,1459.9
216,Delaware,1994,104.45,15-19,11.112,1111.2
217,Delaware,1995,97.575,15-19,7.625,762.5
218,Delaware,1996,90.7,15-19,4.138,413.8
219,Delaware,1997,90.95,15-19,6.8555,685.55
220,Delaware,1998,91.2,15-19,9.573,957.3
221,Delaware,1999,91.45,15-19,12.2905,1229.05
222,Delaware,2000,91.7,15-19,14.12352941,1412.352941
223,Delaware,2001,88.44,15-19,13.50196078,1350.196078
224,Delaware,2002,85.18,15-19,12.88039216,1288.039216
225,Delaware,2003,81.92,15-19,12.25882353,1225.882353
226,Delaware,2004,78.66,15-19,11.6372549,1163.72549
227,Delaware,2005,75.4,15-19,11.01568627,1101.568627
228,Delaware,2006,79.8,15-19,13.58823529,1358.823529
229,Delaware,2007,84.7,15-19,17.89215686,1789.215686
230,Delaware,2008,81.9,15-19,16.51176471,1651.176471
231,Delaware,2009,69.1,15-19,7.925490196,792.5490196
232,Delaware,2010,67.9,15-19,12.28431373,1228.431373
233,Delaware,2011,59.9,15-19,9.098039216,909.8039216
234,Delaware,2012,48.6,15-19,1.835294118,183.5294118
235,Delaware,2013,46,15-19,3.97254902,397.254902
236,Delaware,2014,39.9,15-19,1.549019608,154.9019608
237,Delaware,2015,35.2,15-19,-0.096078431,-9.607843137
238,Delaware,2016,35.6,15-19,3.170588235,317.0588235
239,Delaware,2017,31.5,15-19,1.098039216,109.8039216
240,District of Columbia,1988,,15-19,,0
241,District of Columbia,1989,,15-19,,0
242,District of Columbia,1990,,15-19,,0
243,District of Columbia,1991,,15-19,,0
244,District of Columbia,1992,,15-19,,0
245,District of Columbia,1993,,15-19,,0
246,District of Columbia,1994,,15-19,,0
247,District of Columbia,1995,,15-19,,0
248,District of Columbia,1996,,15-19,,0
249,District of Columbia,1997,,15-19,,0
250,District of Columbia,1998,,15-19,,0
251,District of Columbia,1999,,15-19,,0
252,District of Columbia,2000,121.8,15-19,44.22352941,4422.352941
253,District of Columbia,2001,119.48,15-19,44.54196078,4454.196078
254,District of Columbia,2002,117.16,15-19,44.86039216,4486.039216
255,District of Columbia,2003,114.84,15-19,45.17882353,4517.882353
256,District of Columbia,2004,112.52,15-19,45.4972549,4549.72549
257,District of Columbia,2005,110.2,15-19,45.81568627,4581.568627
258,District of Columbia,2006,112.7,15-19,46.48823529,4648.823529
259,District of Columbia,2007,104.6,15-19,37.79215686,3779.215686
260,District of Columbia,2008,112.9,15-19,47.51176471,4751.176471
261,District of Columbia,2009,100.2,15-19,39.0254902,3902.54902
262,District of Columbia,2010,90.6,15-19,34.98431373,3498.431373
263,District of Columbia,2011,79.5,15-19,28.69803922,2869.803922
264,District of Columbia,2012,69.1,15-19,22.33529412,2233.529412
265,District of Columbia,2013,67.5,15-19,25.47254902,2547.254902
266,District of Columbia,2014,58.7,15-19,20.34901961,2034.901961
267,District of Columbia,2015,47.7,15-19,12.40392157,1240.392157
268,District of Columbia,2016,42.3,15-19,9.870588235,987.0588235
269,District of Columbia,2017,47.3,15-19,16.89803922,1689.803922
270,Florida,1988,131.1,15-19,30.318,3031.8
271,Florida,1989,129.4,15-19,28.785,2878.5
272,Florida,1990,127.7,15-19,27.252,2725.2
273,Florida,1991,126,15-19,25.719,2571.9
274,Florida,1992,124.3,15-19,24.186,2418.6
275,Florida,1993,121.6,15-19,24.874,2487.4
276,Florida,1994,118.9,15-19,25.562,2556.2
277,Florida,1995,116.2,15-19,26.25,2625
278,Florida,1996,113.5,15-19,26.938,2693.8
279,Florida,1997,109.625,15-19,25.5305,2553.05
280,Florida,1998,105.75,15-19,24.123,2412.3
281,Florida,1999,101.875,15-19,22.7155,2271.55
282,Florida,2000,98,15-19,20.42352941,2042.352941
283,Florida,2001,93.98,15-19,19.04196078,1904.196078
284,Florida,2002,89.96,15-19,17.66039216,1766.039216
285,Florida,2003,85.94,15-19,16.27882353,1627.882353
286,Florida,2004,81.92,15-19,14.8972549,1489.72549
287,Florida,2005,77.9,15-19,13.51568627,1351.568627
