YEAR,STATE,AGE,STD,Population,"STD Rate per 100,000 People"
2010,Alabama,0-14,480.0,1274341.0,37.66652724820123
2010,Alabama,15-19,12536.0,1274341.0,983.7241366321888
2010,Alabama,under 19,13016.0,1274341.0,1021.3906638803899
2010,Alaska,0-14,46.0,206185.0,22.31006135266872
2010,Alaska,15-19,1860.0,206185.0,902.1024807818221
2010,Alaska,under 19,1906.0,206185.0,924.4125421344909
2010,Arizona,0-14,325.0,1796293.0,18.092816706405916
2010,Arizona,15-19,9051.0,1796293.0,503.8710277220921
2010,Arizona,under 19,9376.0,1796293.0,521.963844428498
2010,Arkansas,0-14,288.0,790993.0,36.40993030279661
2010,Arkansas,15-19,7290.0,790993.0,921.6263607895393
2010,Arkansas,under 19,7578.0,790993.0,958.0362910923358
2010,California,0-14,1342.0,10440856.0,12.853352253876501
2010,California,15-19,46213.0,10440856.0,442.6169655055103
2010,California,under 19,47555.0,10440856.0,455.4703177593868
2010,Colorado,0-14,251.0,1340977.0,18.71769612752493
2010,Colorado,15-19,6664.0,1340977.0,496.95110356106034
2010,Colorado,under 19,6915.0,1340977.0,515.6687996885853
2010,Connecticut,0-14,134.0,926273.0,14.46657734814682
2010,Connecticut,15-19,4491.0,926273.0,484.8462602278162
2010,Connecticut,under 19,4625.0,926273.0,499.31283757596304
2010,Delaware,0-14,54.0,232339.0,23.241900843164515
2010,Delaware,15-19,1926.0,232339.0,828.9611300728677
2010,Delaware,under 19,1980.0,232339.0,852.2030309160323
2010,District of Columbia,0-14,150.0,128887.0,116.38101592868172
2010,District of Columbia,15-19,3112.0,128887.0,2414.5181438003833
2010,District of Columbia,under 19,3262.0,128887.0,2530.899159729065
2010,Florida,0-14,938.0,4514927.0,20.775529704024006
2010,Florida,15-19,30399.0,4514927.0,673.2999226787056
2010,Florida,under 19,31337.0,4514927.0,694.0754523827295
2010,Georgia,0-14,787.0,2755353.0,28.562583451194822
2010,Georgia,15-19,21297.0,2755353.0,772.9318167218502
2010,Georgia,under 19,22084.0,2755353.0,801.494400173045
2010,Hawaii,0-14,41.0,334346.0,12.262745778325446
2010,Hawaii,15-19,1497.0,334346.0,447.7397665891023
2010,Hawaii,under 19,1538.0,334346.0,460.0025123674277
2010,Idaho,0-14,35.0,465254.0,7.52277250706066
2010,Idaho,15-19,1307.0,465254.0,280.9218190493795
2010,Idaho,under 19,1342.0,465254.0,288.4445915564401
2010,Illinois,0-14,1059.0,3524822.0,30.04407031050079
2010,Illinois,15-19,27120.0,3524822.0,769.4005541272722
2010,Illinois,under 19,28179.0,3524822.0,799.4446244377731
2010,Indiana,0-14,298.0,1802752.0,16.530282590173247
2010,Indiana,15-19,9839.0,1802752.0,545.7766792104516
2010,Indiana,under 19,10137.0,1802752.0,562.3069618006248
2010,Iowa,0-14,146.0,815908.0,17.89417434318575
2010,Iowa,15-19,4084.0,815908.0,500.54663025733294
2010,Iowa,under 19,4230.0,815908.0,518.4408046005187
2010,Kansas,0-14,96.0,800929.0,11.986081163249178
2010,Kansas,15-19,3652.0,800929.0,455.9705042519374
2010,Kansas,under 19,3748.0,800929.0,467.9565854151867
2010,Kentucky,0-14,247.0,1141601.0,21.636280977329207
2010,Kentucky,15-19,7031.0,1141601.0,615.8894394801687
2010,Kentucky,under 19,7278.0,1141601.0,637.5257204574978
2010,Louisiana,0-14,706.0,1240759.0,56.90065516349267
2010,Louisiana,15-19,13398.0,1240759.0,1079.822914844865
2010,Louisiana,under 19,14104.0,1240759.0,1136.7235700083577
2010,Maine,0-14,14.0,318478.0,4.395908037603853
2010,Maine,15-19,783.0,318478.0,245.85685667455834
2010,Maine,under 19,797.0,318478.0,250.25276471216225
2010,Maryland,0-14,531.0,1524881.0,34.822389419239926
2010,Maryland,15-19,12775.0,1524881.0,837.7702915834088
2010,Maryland,under 19,13306.0,1524881.0,872.5926810026486
2010,Massachusetts,0-14,152.0,1635036.0,9.29643139355953
2010,Massachusetts,15-19,6409.0,1635036.0,391.9791368508094
2010,Massachusetts,under 19,6561.0,1635036.0,401.2755682443689
2010,Michigan,0-14,905.0,2727917.0,33.17549617528685
2010,Michigan,15-19,24452.0,2727917.0,896.361582848745
2010,Michigan,under 19,25357.0,2727917.0,929.5370790240319
2010,Minnesota,0-14,134.0,1431372.0,9.361647426385314
2010,Minnesota,15-19,5388.0,1431372.0,376.42206218928413
2010,Minnesota,under 19,5522.0,1431372.0,385.78370961566947
2010,Mississippi,0-14,490.0,851587.0,57.53962895159273
2010,Mississippi,15-19,10698.0,851587.0,1256.2427561717122
2010,Mississippi,under 19,11188.0,851587.0,1313.7823851233052
2010,Missouri,0-14,403.0,1603432.0,25.133588452768812
2010,Missouri,15-19,11925.0,1603432.0,743.7172265490523
2010,Missouri,under 19,12328.0,1603432.0,768.850815001821
2010,Montana,0-14,38.0,251297.0,15.12154940170396
2010,Montana,15-19,1078.0,251297.0,428.9744803957071
2010,Montana,under 19,1116.0,251297.0,444.09602979741106
2010,Nebraska,0-14,55.0,506535.0,10.858084831255491
2010,Nebraska,15-19,1905.0,506535.0,376.08457460984926
2010,Nebraska,under 19,1960.0,506535.0,386.94265944110475
2010,Nevada,0-14,118.0,724299.0,16.29161437472646
2010,Nevada,15-19,3593.0,724299.0,496.0658512575608
2010,Nevada,under 19,3711.0,724299.0,512.3574656322872
2010,New Hampshire,0-14,14.0,335346.0,4.174792602267509
