Indicator,Year,STATE,AGE,STD
Chlamydia,2000,Alabama,0-14,402
Chlamydia,2000,Alabama,15-19,"6,112"
Chlamydia,2001,Alabama,0-14,368
Chlamydia,2001,Alabama,15-19,"5,743"
Chlamydia,2002,Alabama,0-14,411
Chlamydia,2002,Alabama,15-19,"6,144"
Chlamydia,2003,Alabama,0-14,386
Chlamydia,2003,Alabama,15-19,"5,587"
Chlamydia,2004,Alabama,0-14,306
Chlamydia,2004,Alabama,15-19,"5,039"
Chlamydia,2005,Alabama,0-14,345
Chlamydia,2005,Alabama,15-19,"6,223"
Chlamydia,2006,Alabama,0-14,438
Chlamydia,2006,Alabama,15-19,"8,448"
Chlamydia,2007,Alabama,0-14,419
Chlamydia,2007,Alabama,15-19,"8,927"
Chlamydia,2008,Alabama,0-14,492
Chlamydia,2008,Alabama,15-19,"9,133"
Chlamydia,2009,Alabama,0-14,416
Chlamydia,2009,Alabama,15-19,"9,598"
Chlamydia,2010,Alabama,0-14,398
Chlamydia,2010,Alabama,15-19,"9,948"
Chlamydia,2011,Alabama,0-14,487
Chlamydia,2011,Alabama,15-19,"10,703"
Chlamydia,2012,Alabama,0-14,394
Chlamydia,2012,Alabama,15-19,"10,620"
Chlamydia,2013,Alabama,0-14,360
Chlamydia,2013,Alabama,15-19,"9,677"
Chlamydia,2014,Alabama,0-14,322
Chlamydia,2014,Alabama,15-19,"8,892"
Chlamydia,2015,Alabama,0-14,255
Chlamydia,2015,Alabama,15-19,"7,832"
Chlamydia,2016,Alabama,0-14,201
Chlamydia,2016,Alabama,15-19,"6,931"
Chlamydia,2017,Alabama,0-14,283
Chlamydia,2017,Alabama,15-19,"9,549"
Chlamydia,2018,Alabama,0-14,252
Chlamydia,2018,Alabama,15-19,"9,257"
Chlamydia,2019,Alabama,0-14,293
Chlamydia,2019,Alabama,15-19,"9,674"
Chlamydia,2020,Alabama,0-14,230
Chlamydia,2020,Alabama,15-19,"7,979"
Chlamydia,2021,Alabama,0-14,271
Chlamydia,2021,Alabama,15-19,"7,837"
"Early Non-Primary, Non-Secondary Syphilis",2000,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,Alabama,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Alabama,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Alabama,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Alabama,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2003,Alabama,15-19,11
"Early Non-Primary, Non-Secondary Syphilis",2004,Alabama,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2004,Alabama,15-19,11
"Early Non-Primary, Non-Secondary Syphilis",2005,Alabama,0-14,3
"Early Non-Primary, Non-Secondary Syphilis",2005,Alabama,15-19,5
"Early Non-Primary, Non-Secondary Syphilis",2006,Alabama,0-14,2
"Early Non-Primary, Non-Secondary Syphilis",2006,Alabama,15-19,18
"Early Non-Primary, Non-Secondary Syphilis",2007,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2007,Alabama,15-19,21
"Early Non-Primary, Non-Secondary Syphilis",2008,Alabama,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2008,Alabama,15-19,35
"Early Non-Primary, Non-Secondary Syphilis",2009,Alabama,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2009,Alabama,15-19,30
"Early Non-Primary, Non-Secondary Syphilis",2010,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Alabama,15-19,16
"Early Non-Primary, Non-Secondary Syphilis",2011,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2011,Alabama,15-19,12
"Early Non-Primary, Non-Secondary Syphilis",2012,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2012,Alabama,15-19,17
"Early Non-Primary, Non-Secondary Syphilis",2013,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2013,Alabama,15-19,18
"Early Non-Primary, Non-Secondary Syphilis",2014,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2014,Alabama,15-19,13
"Early Non-Primary, Non-Secondary Syphilis",2015,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Alabama,15-19,17
"Early Non-Primary, Non-Secondary Syphilis",2016,Alabama,0-14,2
"Early Non-Primary, Non-Secondary Syphilis",2016,Alabama,15-19,17
"Early Non-Primary, Non-Secondary Syphilis",2017,Alabama,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2017,Alabama,15-19,30
"Early Non-Primary, Non-Secondary Syphilis",2018,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Alabama,15-19,36
"Early Non-Primary, Non-Secondary Syphilis",2019,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Alabama,15-19,25
"Early Non-Primary, Non-Secondary Syphilis",2020,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2020,Alabama,15-19,27
"Early Non-Primary, Non-Secondary Syphilis",2021,Alabama,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2021,Alabama,15-19,27
Gonorrhea,2000,Alabama,0-14,177
Gonorrhea,2000,Alabama,15-19,"3,467"
Gonorrhea,2001,Alabama,0-14,206
Gonorrhea,2001,Alabama,15-19,"3,064"
Gonorrhea,2002,Alabama,0-14,165
Gonorrhea,2002,Alabama,15-19,"2,694"
Gonorrhea,2003,Alabama,0-14,145
Gonorrhea,2003,Alabama,15-19,"2,469"
Gonorrhea,2004,Alabama,0-14,119
Gonorrhea,2004,Alabama,15-19,"2,028"
Gonorrhea,2005,Alabama,0-14,134
Gonorrhea,2005,Alabama,15-19,"2,445"
Gonorrhea,2006,Alabama,0-14,173
Gonorrhea,2006,Alabama,15-19,"3,049"
Gonorrhea,2007,Alabama,0-14,161
Gonorrhea,2007,Alabama,15-19,"3,023"
Gonorrhea,2008,Alabama,0-14,153
Gonorrhea,2008,Alabama,15-19,"2,972"
Gonorrhea,2009,Alabama,0-14,80
Gonorrhea,2009,Alabama,15-19,"2,325"
Gonorrhea,2010,Alabama,0-14,82
Gonorrhea,2010,Alabama,15-19,"2,554"
Gonorrhea,2011,Alabama,0-14,127
Gonorrhea,2011,Alabama,15-19,"2,775"
Gonorrhea,2012,Alabama,0-14,106
Gonorrhea,2012,Alabama,15-19,"2,682"
Gonorrhea,2013,Alabama,0-14,79
Gonorrhea,2013,Alabama,15-19,"2,246"
Gonorrhea,2014,Alabama,0-14,48
Gonorrhea,2014,Alabama,15-19,"1,713"
Gonorrhea,2015,Alabama,0-14,44
Gonorrhea,2015,Alabama,15-19,"1,613"
Gonorrhea,2016,Alabama,0-14,39
Gonorrhea,2016,Alabama,15-19,"1,568"
Gonorrhea,2017,Alabama,0-14,106
Gonorrhea,2017,Alabama,15-19,"2,755"
Gonorrhea,2018,Alabama,0-14,102
Gonorrhea,2018,Alabama,15-19,"2,877"
Gonorrhea,2019,Alabama,0-14,90
Gonorrhea,2019,Alabama,15-19,"3,024"
Gonorrhea,2020,Alabama,0-14,100
Gonorrhea,2020,Alabama,15-19,"3,004"
Gonorrhea,2021,Alabama,0-14,93
Gonorrhea,2021,Alabama,15-19,"2,788"
Primary and Secondary Syphilis,2000,Alabama,0-14,0
Primary and Secondary Syphilis,2000,Alabama,15-19,13
Primary and Secondary Syphilis,2001,Alabama,0-14,1
Primary and Secondary Syphilis,2001,Alabama,15-19,15
Primary and Secondary Syphilis,2002,Alabama,0-14,1
Primary and Secondary Syphilis,2002,Alabama,15-19,2
