,YEAR,STATE,AGE,STD,Population,"STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)"
0,2010,Alabama,0-14,480.0,1274341.0,37.66652724820123,-397.24955994590096
1,2010,Alabama,15-19,12536.0,1274341.0,983.7241366321888,548.8080494380865
2,2010,Alabama,under 19,13016.0,1274341.0,1021.39066388039,586.4745766862877
3,2010,Alaska,0-14,46.0,206185.0,22.31006135266872,-412.6060258414335
4,2010,Alaska,15-19,1860.0,206185.0,902.102480781822,467.1863935877198
5,2010,Alaska,under 19,1906.0,206185.0,924.4125421344908,489.49645494038856
6,2010,Arizona,0-14,325.0,1796293.0,18.09281670640592,-416.8232704876963
7,2010,Arizona,15-19,9051.0,1796293.0,503.8710277220921,68.95494052798989
8,2010,Arizona,under 19,9376.0,1796293.0,521.963844428498,87.04775723439576
9,2010,Arkansas,0-14,288.0,790993.0,36.40993030279661,-398.5061568913056
10,2010,Arkansas,15-19,7290.0,790993.0,921.6263607895391,486.71027359543695
11,2010,Arkansas,under 19,7578.0,790993.0,958.0362910923358,523.1202038982335
12,2010,California,0-14,1342.0,10440856.0,12.8533522538765,-422.0627349402257
13,2010,California,15-19,46213.0,10440856.0,442.6169655055103,7.700878311408076
14,2010,California,under 19,47555.0,10440856.0,455.4703177593868,20.55423056528457
15,2010,Colorado,0-14,251.0,1340977.0,18.71769612752493,-416.1983910665773
16,2010,Colorado,15-19,6664.0,1340977.0,496.95110356106034,62.03501636695813
17,2010,Colorado,under 19,6915.0,1340977.0,515.6687996885853,80.75271249448309
18,2010,Connecticut,0-14,134.0,926273.0,14.46657734814682,-420.4495098459554
19,2010,Connecticut,15-19,4491.0,926273.0,484.8462602278162,49.93017303371397
20,2010,Connecticut,under 19,4625.0,926273.0,499.31283757596304,64.39675038186084
21,2010,Delaware,0-14,54.0,232339.0,23.241900843164515,-411.6741863509377
22,2010,Delaware,15-19,1926.0,232339.0,828.9611300728677,394.0450428787655
23,2010,Delaware,under 19,1980.0,232339.0,852.2030309160323,417.2869437219301
24,2010,District of Columbia,0-14,150.0,128887.0,116.38101592868172,-318.53507126542047
25,2010,District of Columbia,15-19,3112.0,128887.0,2414.5181438003838,1979.6020566062816
26,2010,District of Columbia,under 19,3262.0,128887.0,2530.899159729065,2095.983072534963
27,2010,Florida,0-14,938.0,4514927.0,20.77552970402401,-414.1405574900782
28,2010,Florida,15-19,30399.0,4514927.0,673.2999226787056,238.38383548460337
29,2010,Florida,under 19,31337.0,4514927.0,694.0754523827295,259.1593651886273
30,2010,Georgia,0-14,787.0,2755353.0,28.562583451194826,-406.3535037429074
31,2010,Georgia,15-19,21297.0,2755353.0,772.9318167218502,338.01572952774796
32,2010,Georgia,under 19,22084.0,2755353.0,801.494400173045,366.57831297894285
33,2010,Hawaii,0-14,41.0,334346.0,12.262745778325446,-422.65334141577677
34,2010,Hawaii,15-19,1497.0,334346.0,447.7397665891023,12.823679395000113
35,2010,Hawaii,under 19,1538.0,334346.0,460.0025123674277,25.086425173325495
36,2010,Idaho,0-14,35.0,465254.0,7.52277250706066,-427.39331468704154
37,2010,Idaho,15-19,1307.0,465254.0,280.9218190493795,-153.9942681447227
38,2010,Idaho,under 19,1342.0,465254.0,288.4445915564401,-146.4714956376621
39,2010,Illinois,0-14,1059.0,3524822.0,30.04407031050079,-404.8720168836014
40,2010,Illinois,15-19,27120.0,3524822.0,769.4005541272722,334.48446693317004
41,2010,Illinois,under 19,28179.0,3524822.0,799.4446244377731,364.5285372436709
42,2010,Indiana,0-14,298.0,1802752.0,16.530282590173247,-418.38580460392893
43,2010,Indiana,15-19,9839.0,1802752.0,545.7766792104516,110.86059201634936
44,2010,Indiana,under 19,10137.0,1802752.0,562.3069618006248,127.39087460652257
45,2010,Iowa,0-14,146.0,815908.0,17.89417434318575,-417.02191285091646
46,2010,Iowa,15-19,4084.0,815908.0,500.54663025733294,65.63054306323073
47,2010,Iowa,under 19,4230.0,815908.0,518.4408046005187,83.52471740641653
48,2010,Kansas,0-14,96.0,800929.0,11.986081163249178,-422.930006030853
49,2010,Kansas,15-19,3652.0,800929.0,455.9705042519374,21.054417057835224
50,2010,Kansas,under 19,3748.0,800929.0,467.9565854151867,33.040498221084476
51,2010,Kentucky,0-14,247.0,1141601.0,21.636280977329207,-413.279806216773
52,2010,Kentucky,15-19,7031.0,1141601.0,615.8894394801687,180.97335228606647
53,2010,Kentucky,under 19,7278.0,1141601.0,637.5257204574978,202.60963326339555
54,2010,Louisiana,0-14,706.0,1240759.0,56.90065516349267,-378.01543203060953
55,2010,Louisiana,15-19,13398.0,1240759.0,1079.822914844865,644.9068276507628
56,2010,Louisiana,under 19,14104.0,1240759.0,1136.7235700083577,701.8074828142555
57,2010,Maine,0-14,14.0,318478.0,4.395908037603853,-430.52017915649833
58,2010,Maine,15-19,783.0,318478.0,245.85685667455837,-189.05923051954383
59,2010,Maine,under 19,797.0,318478.0,250.25276471216225,-184.66332248193996
60,2010,Maryland,0-14,531.0,1524881.0,34.822389419239926,-400.0936977748623
61,2010,Maryland,15-19,12775.0,1524881.0,837.7702915834088,402.85420438930663
62,2010,Maryland,under 19,13306.0,1524881.0,872.5926810026486,437.67659380854644
63,2010,Massachusetts,0-14,152.0,1635036.0,9.29643139355953,-425.61965580054266
64,2010,Massachusetts,15-19,6409.0,1635036.0,391.9791368508094,-42.93695034329278
65,2010,Massachusetts,under 19,6561.0,1635036.0,401.2755682443689,-33.64051894973329
66,2010,Michigan,0-14,905.0,2727917.0,33.17549617528685,-401.74059101881534
67,2010,Michigan,15-19,24452.0,2727917.0,896.361582848745,461.4454956546428
